rank,track_id,name,artists,album,repeat_intent,bpm,mood,energy,dance,valence,camelot,listen_count,last_listened_at,spotify_url
113,6OyKBwLzq4h15XmxeWf5n4,Cute Without The 'E' (Cut From The Team) - Remastered 2019,Taking Back Sunday,Tell All Your Friends (Remastered),favorites_archive,95.00,186.00,89.00,40.00,57.00,12A,1,2026-07-13T00:12:01.681Z,https://open.spotify.com/track/6OyKBwLzq4h15XmxeWf5n4
114,2Pdo1VvYDB9FqeuNx8D1FW,Back in Your Head,Tegan and Sara,The Con,favorites_archive,141.00,237.00,80.00,75.00,82.00,7B,1,2026-07-12T20:18:16.854Z,https://open.spotify.com/track/2Pdo1VvYDB9FqeuNx8D1FW
115,5E0pS3sXgWdQZMKChqYXHE,Basic Instinct,The Acid,Liminal,favorites_archive,118.00,154.00,47.00,74.00,33.00,9B,1,2026-07-12T01:09:21.314Z,https://open.spotify.com/track/5E0pS3sXgWdQZMKChqYXHE
116,4HM8tkHTQ6JVSMfsJOrcAW,Close Your Eyes,The All-American Rejects,Sweat,favorites_archive,92.00,118.00,63.00,47.00,8.00,3B,1,2026-07-12T06:34:15.552Z,https://open.spotify.com/track/4HM8tkHTQ6JVSMfsJOrcAW
117,4W4wYHtsrgDiivRASVOINL,Love Shack,The B-52's,Cosmic Thing,favorites_archive,134.00,240.00,80.00,70.00,90.00,4A,1,2026-07-12T21:42:41.924Z,https://open.spotify.com/track/4W4wYHtsrgDiivRASVOINL
118,207qLd1ovrqfYVBBDrNMUM,Dance This Mess Around,The B-52's,The B-52's,favorites_archive,161.00,186.00,71.00,61.00,54.00,5B,1,2026-07-12T06:42:48.454Z,https://open.spotify.com/track/207qLd1ovrqfYVBBDrNMUM
119,4XfI7M5gLwEY84gYiH4RDD,Devil's Advocate,The Neighbourhood,Chip Chrome & The Mono-Tones,favorites_archive,98.00,220.00,68.00,66.00,86.00,10A,1,2026-07-12T06:38:12.650Z,https://open.spotify.com/track/4XfI7M5gLwEY84gYiH4RDD
120,5J58slQI9ku9125VhQ070L,Beep,"The Pussycat Dolls,will.i.am",PCD (Expanded Edition),favorites_archive,104.00,222.00,74.00,94.00,54.00,9B,1,2026-07-12T20:34:53.246Z,https://open.spotify.com/track/5J58slQI9ku9125VhQ070L
121,4Mqs0h95KAeNiGp7u4udlt,Love Reign O'er Me,The Who,Quadrophenia (Super Deluxe Edition),favorites_archive,116.00,124.00,72.00,30.00,22.00,3B,1,2026-07-12T21:09:21.073Z,https://open.spotify.com/track/4Mqs0h95KAeNiGp7u4udlt
122,5PKnZzkjs2y3WTbIYtv5Fq,Magic Bus - Mono Edit,The Who,The Kids Are Alright,favorites_archive,92.00,230.00,95.00,63.00,72.00,9B,1,2026-07-12T21:10:18.612Z,https://open.spotify.com/track/5PKnZzkjs2y3WTbIYtv5Fq
123,23IJ5wLRhEZ9DOuia5mPiZ,Who Are You,The Who,Who Are You,favorites_archive,156.00,179.00,65.00,65.00,49.00,11B,1,2026-07-13T00:27:32.015Z,https://open.spotify.com/track/23IJ5wLRhEZ9DOuia5mPiZ
124,3qiyyUfYe7CRYLucrPmulD,Baba O'Riley,The Who,Who's Next (Deluxe Edition),favorites_archive,117.00,136.00,72.00,49.00,15.00,7B,1,2026-07-13T00:27:46.611Z,https://open.spotify.com/track/3qiyyUfYe7CRYLucrPmulD
125,40Gp0YR5kj8vT7Z55YzTFM,Fiction,The xx,Coexist,favorites_archive,115.00,179.00,36.00,79.00,64.00,6A,1,2026-07-12T19:37:45.755Z,https://open.spotify.com/track/40Gp0YR5kj8vT7Z55YzTFM
126,15y44uyGiDqQWLlhc1Rj9l,Together,The xx,Fiction EP,favorites_archive,96.00,105.00,32.00,61.00,12.00,12A,1,2026-07-12T19:38:21.070Z,https://open.spotify.com/track/15y44uyGiDqQWLlhc1Rj9l
127,0ZX5WYRg59qcTpKX8d6JPZ,Search And Destroy,Thirty Seconds To Mars,This Is War,favorites_archive,135.00,171.00,78.00,56.00,37.00,8A,1,2026-07-13T00:30:31.213Z,https://open.spotify.com/track/0ZX5WYRg59qcTpKX8d6JPZ
128,2N4Lw4tS3KBx0PMJ7ZJXiy,Dream Walkin',Toby Keith,Dream Walkin',favorites_archive,117.00,200.00,75.00,71.00,54.00,7B,1,2026-07-12T06:50:45.760Z,https://open.spotify.com/track/2N4Lw4tS3KBx0PMJ7ZJXiy
129,0DJJdLSQKTPVnAA2iEuvsQ,All I Ever Wanted,Train,"For Me, It's You",favorites_archive,170.00,151.00,62.00,42.00,47.00,10B,1,2026-07-12T20:11:00.578Z,https://open.spotify.com/track/0DJJdLSQKTPVnAA2iEuvsQ
130,1BXDOKw1wayAznyNIfHmv7,Grey,Two Feet,Grey,favorites_archive,120.00,186.00,72.00,56.00,58.00,8B,1,2026-07-13T00:11:37.203Z,https://open.spotify.com/track/1BXDOKw1wayAznyNIfHmv7
131,4KoecuyOpZaNFZ0UqVsllc,Follow Me,Uncle Kracker,Double Wide,favorites_archive,105.00,233.00,59.00,82.00,92.00,7B,1,2026-07-12T19:38:58.561Z,https://open.spotify.com/track/4KoecuyOpZaNFZ0UqVsllc
132,1rYMhRNa26kKbIRP0xe6cP,Embrace,WYATT,"36, 37",favorites_archive,80.00,85.00,33.00,36.00,16.00,12A,1,2026-07-12T06:51:22.675Z,https://open.spotify.com/track/1rYMhRNa26kKbIRP0xe6cP
133,1SF8piqsZWn86DajVKih8F,Kacey Talk,YoungBoy Never Broke Again,Top,favorites_archive,127.00,226.00,61.00,88.00,77.00,3A,1,2026-07-12T01:04:05.244Z,https://open.spotify.com/track/1SF8piqsZWn86DajVKih8F
134,50Emgupm363qIrYBe20FR3,Quittin' Time,Zach Bryan,Summertime Blues,favorites_archive,143.00,183.00,73.00,56.00,54.00,5A,1,2026-07-13T00:26:39.676Z,https://open.spotify.com/track/50Emgupm363qIrYBe20FR3
