rank,track_id,name,artists,album,tier,mood,energy,dance,valence,bpm,camelot,listen_count,days_since_latest_listen,tier_weight,recency_boost,listen_count_boost,jitter,sort_score,spotify_url
11,1ggbqc7jhg454UpFfSmdam,Don't Miss,The Blue Stones,Pretty Monster,on_repeat,173.00,67.00,58.00,48.00,136.00,3A,1,1.30,3.000,0.9585,0.1386,0.9894,4.8024,https://open.spotify.com/track/1ggbqc7jhg454UpFfSmdam
12,2NEJSUekQg1nVvTI0ctJeA,Stem the Flow,Paris Paloma,Stem the Flow,on_repeat,166.00,86.00,57.00,23.00,129.00,11B,1,1.30,3.000,0.9585,0.1386,0.9774,4.7441,https://open.spotify.com/track/2NEJSUekQg1nVvTI0ctJeA
13,1nUC2uuKUl49tDwQ1m4A1J,BURNER PHONE,cleopatrick,SCRAP,on_repeat,181.00,91.00,44.00,46.00,136.00,9A,1,1.28,3.000,0.9590,0.1386,0.9593,4.6569,https://open.spotify.com/track/1nUC2uuKUl49tDwQ1m4A1J
14,1Ki5PqMFMTKQfjB1uet9pG,You Again,Jonah Kagen,You Again,yes,170.00,64.00,55.00,51.00,120.00,3B,1,0.06,1.500,0.9979,0.1386,1.0488,2.5762,https://open.spotify.com/track/1Ki5PqMFMTKQfjB1uet9pG
15,6Wx88Mv6b9ofjKMKkdwOJd,New Divide,Linkin Park,Transformers: Revenge Of The Fallen The Album,yes,168.00,81.00,49.00,38.00,118.00,4A,1,0.08,1.500,0.9974,0.1386,1.0394,2.5526,https://open.spotify.com/track/6Wx88Mv6b9ofjKMKkdwOJd
16,660u9agQuREtEDmETVWSts,Three Imaginary Boys - 2005 Remaster,The Cure,Three Imaginary Boys (Deluxe Edition),yes,171.00,63.00,60.00,48.00,170.00,10A,1,1.29,1.500,0.9589,0.1386,1.0494,2.5470,https://open.spotify.com/track/660u9agQuREtEDmETVWSts
17,5N7Cdi5Te9E3rejjuyRwll,Your Chaos,NOMARKMORE,Exhibition Number Zero,yes,184.00,45.00,74.00,65.00,124.00,2B,1,1.28,1.500,0.9591,0.1386,1.0449,2.5364,https://open.spotify.com/track/5N7Cdi5Te9E3rejjuyRwll
18,54jvLVojOWiQRubRfKmZ2k,.intoodeep,Dead Poet Society,-!- (Deluxe),yes,177.00,68.00,60.00,49.00,125.00,4B,1,0.08,1.500,0.9973,0.1386,1.0319,2.5344,https://open.spotify.com/track/54jvLVojOWiQRubRfKmZ2k
19,3A5rfmGdSmfcNqIURUJt4z,All I Need Is You,NOMARKMORE,Exhibition Number Zero,yes,166.00,53.00,47.00,66.00,176.00,1A,1,1.28,1.500,0.9592,0.1386,1.0406,2.5258,https://open.spotify.com/track/3A5rfmGdSmfcNqIURUJt4z
20,60hT5qY7Ck8D4laJYXdZ9O,Accuracy - 2005 Remaster,The Cure,Three Imaginary Boys,yes,165.00,42.00,71.00,52.00,62.00,11A,1,1.29,1.500,0.9589,0.1386,1.0394,2.5228,https://open.spotify.com/track/60hT5qY7Ck8D4laJYXdZ9O
