packet_index,slot,seed_track_id,track_id,tier,name,artists,album,bpm,mood_score,key_step,distance,spotify_url
13,1,0z1b34WikhOH9ZxU8QDWcv,0z1b34WikhOH9ZxU8QDWcv,on_repeat,One Headlight,The Wallflowers,Bringing Down The Horse,108.000,199.000,1,0.000000,https://open.spotify.com/track/0z1b34WikhOH9ZxU8QDWcv
13,2,0z1b34WikhOH9ZxU8QDWcv,0mflMxspEfB0VbI1kyLiAv,on_repeat,Stick Season,Noah Kahan,Stick Season,118.000,196.000,1,0.352189,https://open.spotify.com/track/0mflMxspEfB0VbI1kyLiAv
13,3,0z1b34WikhOH9ZxU8QDWcv,2CxUw9KnY5VHugLbBZiCAF,yes,I'm Not Really Here,X Ambassadors,Townies,109.000,237.000,1,0.867602,https://open.spotify.com/track/2CxUw9KnY5VHugLbBZiCAF
13,4,0z1b34WikhOH9ZxU8QDWcv,5PKnZzkjs2y3WTbIYtv5Fq,on_repeat,Magic Bus - Mono Edit,The Who,The Kids Are Alright,92.000,230.000,1,0.897610,https://open.spotify.com/track/5PKnZzkjs2y3WTbIYtv5Fq
14,1,5fbQCQt91LsVgXusFS0CCD,5fbQCQt91LsVgXusFS0CCD,yes,Disorder - 2007 Remaster,Joy Division,Unknown Pleasures (Collector's Edition),85.000,186.000,1,0.000000,https://open.spotify.com/track/5fbQCQt91LsVgXusFS0CCD
14,2,5fbQCQt91LsVgXusFS0CCD,5l8oNQsDDPNFUIV5M4lzRJ,yes,Free Animal,Foreign Air,Free Animal,80.000,155.000,1,0.733033,https://open.spotify.com/track/5l8oNQsDDPNFUIV5M4lzRJ
14,3,5fbQCQt91LsVgXusFS0CCD,61b8dII0C3ybIRdQY6dl3d,yes,Caffeine,Foreign Air,Caffeine,95.000,168.000,2,0.764418,https://open.spotify.com/track/61b8dII0C3ybIRdQY6dl3d
14,4,5fbQCQt91LsVgXusFS0CCD,67q8yivDoOPXCYodi1zTix,yes,Glue Myself Shut,Noah Kahan,Cape Elizabeth,73.000,163.000,2,0.862582,https://open.spotify.com/track/67q8yivDoOPXCYodi1zTix
15,1,6pYLOZFS1uZPmDFcj6OuMo,6pYLOZFS1uZPmDFcj6OuMo,yes,The Mask,Matt Maeson,The Mask,148.000,163.000,1,0.000000,https://open.spotify.com/track/6pYLOZFS1uZPmDFcj6OuMo
15,2,6pYLOZFS1uZPmDFcj6OuMo,3xdjjKMcMOFgo1eQrfbogM,on_repeat,Wagon Wheel,Darius Rucker,True Believers,148.000,178.000,1,0.332294,https://open.spotify.com/track/3xdjjKMcMOFgo1eQrfbogM
15,3,6pYLOZFS1uZPmDFcj6OuMo,660u9agQuREtEDmETVWSts,yes,Three Imaginary Boys - 2005 Remaster,The Cure,Three Imaginary Boys (Deluxe Edition),170.000,171.000,2,0.957134,https://open.spotify.com/track/660u9agQuREtEDmETVWSts
15,4,6pYLOZFS1uZPmDFcj6OuMo,6UWmNaS12bUJzFBuQB6e7j,yes,Grave Digger,Matt Maeson,Grave Digger,140.000,137.000,3,1.139795,https://open.spotify.com/track/6UWmNaS12bUJzFBuQB6e7j
16,1,2gnZad0pb6QtUqMLTj2AjI,2gnZad0pb6QtUqMLTj2AjI,on_repeat,Please Don't Leave Me,P!nk,Funhouse (Expanded Edition),138.000,219.000,1,0.000000,https://open.spotify.com/track/2gnZad0pb6QtUqMLTj2AjI
16,2,2gnZad0pb6QtUqMLTj2AjI,2skmOCFU64Bg7Ytkgwliwe,yes,All For You,Sister Hazel,...Somewhere More Familiar,137.000,202.000,2,0.607194,https://open.spotify.com/track/2skmOCFU64Bg7Ytkgwliwe
16,3,2gnZad0pb6QtUqMLTj2AjI,6FDtusHKRJdlHLApla3VSa,yes,Capricorn,Elderbrook,Capricorn,121.000,255.000,1,0.987311,https://open.spotify.com/track/6FDtusHKRJdlHLApla3VSa
16,4,2gnZad0pb6QtUqMLTj2AjI,6HojDglE8E3EA7SbTLE8VF,maybe,Love To See You Cry,Enrique Iglesias,Escape,123.000,223.000,3,1.117920,https://open.spotify.com/track/6HojDglE8E3EA7SbTLE8VF
17,1,2SGyf0hCuB81F85cHXuRjl,2SGyf0hCuB81F85cHXuRjl,yes,So Cold,Balu Brigada,Portal,111.000,222.000,1,0.000000,https://open.spotify.com/track/2SGyf0hCuB81F85cHXuRjl
17,2,2SGyf0hCuB81F85cHXuRjl,0NdTUS4UiNYCNn5FgVqKQY,yes,Snap Out Of It,Arctic Monkeys,AM,130.000,224.000,1,0.665034,https://open.spotify.com/track/0NdTUS4UiNYCNn5FgVqKQY
18,1,0A2d4khGCCkWJS0SAZNxoP,0A2d4khGCCkWJS0SAZNxoP,yes,Real,Olly Alexander (Years & Years),Communion (Deluxe),114.000,190.000,1,0.000000,https://open.spotify.com/track/0A2d4khGCCkWJS0SAZNxoP
18,2,0A2d4khGCCkWJS0SAZNxoP,6bpcvTmxA0iVRCBER7xw1a,yes,Driver,Billy Raffoul,Driver,115.000,159.000,1,0.699637,https://open.spotify.com/track/6bpcvTmxA0iVRCBER7xw1a
18,3,0A2d4khGCCkWJS0SAZNxoP,0sHW1jXe6Sou3437gJQNGA,maybe,Space Bound,Eminem,Recovery,142.000,206.000,1,1.025594,https://open.spotify.com/track/0sHW1jXe6Sou3437gJQNGA
18,4,0A2d4khGCCkWJS0SAZNxoP,3lPr8ghNDBLc2uZovNyLs9,yes,Supermassive Black Hole,Muse,Black Holes and Revelations,120.000,237.000,1,1.079256,https://open.spotify.com/track/3lPr8ghNDBLc2uZovNyLs9
19,1,34d7sGX6WUqq8f04e7CSNF,34d7sGX6WUqq8f04e7CSNF,yes,Marsh,Eminem,Music To Be Murdered By,145.000,141.000,1,0.000000,https://open.spotify.com/track/34d7sGX6WUqq8f04e7CSNF
19,2,34d7sGX6WUqq8f04e7CSNF,7riRkLUdLj0J8zwS6KtZIs,yes,Beggar's Song,Matt Maeson,Beggar's Song,145.000,118.000,1,0.523424,https://open.spotify.com/track/7riRkLUdLj0J8zwS6KtZIs
