Track_ID,Song,Artist,Source_User,Source_Repeat_Intent,Source_Keep_In_Library,Source_Logged_At,Track_URL
5MzjQ95rdB2xt9DNa2IzaC,Don't Phunk With My Heart,Black Eyed Peas,kaseysmom,skip_for_now,1,2026-07-19T06:00:38.741Z,https://open.spotify.com/track/5MzjQ95rdB2xt9DNa2IzaC
5NOKqfyuSU3e1sqvildQmM,Downstairs,Matt Maeson,kaseysmom,skip_for_now,1,2026-07-19T06:00:39.363Z,https://open.spotify.com/track/5NOKqfyuSU3e1sqvildQmM
5qII2n90lVdPDcgXEEVHNy,Sunday Morning,Maroon 5,kaseysmom,skip_for_now,1,2026-07-19T06:00:39.157Z,https://open.spotify.com/track/5qII2n90lVdPDcgXEEVHNy
5RKQ5NdjSh2QzD4MaunT91,Don't Stop Believin' (2022 Remaster),Journey,kaseysmom,skip_for_now,1,2026-07-19T06:00:39.555Z,https://open.spotify.com/track/5RKQ5NdjSh2QzD4MaunT91
6b9NzxGrLgueouFOAr5Jw3,Sweetest Goodbye,Maroon 5,kaseysmom,skip_for_now,1,2026-07-19T06:00:39.170Z,https://open.spotify.com/track/6b9NzxGrLgueouFOAr5Jw3
6bLU8e0LGyztE9iD5DWBQ1,Hallucinogenics,Matt Maeson,kaseysmom,skip_for_now,1,2026-07-19T06:00:38.826Z,https://open.spotify.com/track/6bLU8e0LGyztE9iD5DWBQ1
6CjtS2JZH9RkDz5UVInsa9,Thrift Shop (feat. Wanz),"Macklemore & Ryan Lewis,Macklemore,Ryan Lewis,Wanz",kaseysmom,skip_for_now,1,2026-07-19T06:00:39.216Z,https://open.spotify.com/track/6CjtS2JZH9RkDz5UVInsa9
6ECp64rv50XVz93WvxXMGF,This Love,Maroon 5,kaseysmom,skip_for_now,1,2026-07-19T06:00:39.172Z,https://open.spotify.com/track/6ECp64rv50XVz93WvxXMGF
6L5c6wFGDQswebVAS3BmUw,Leather and Lace,"Stevie Nicks,Don Henley",kaseysmom,skip_for_now,1,2026-07-19T06:00:39.069Z,https://open.spotify.com/track/6L5c6wFGDQswebVAS3BmUw
6liaHE9iHh23PLVvw7lK8V,Closing Time,Semisonic,kaseysmom,skip_for_now,1,2026-07-19T06:00:38.902Z,https://open.spotify.com/track/6liaHE9iHh23PLVvw7lK8V
6Qyc6fS4DsZjB2mRW9DsQs,Iris,The Goo Goo Dolls,kaseysmom,skip_for_now,1,2026-07-19T06:00:38.854Z,https://open.spotify.com/track/6Qyc6fS4DsZjB2mRW9DsQs
6WZ7g8fpIXkf1ySWn3GA5O,Summertime,New Kids On The Block,kaseysmom,skip_for_now,1,2026-07-19T06:00:39.262Z,https://open.spotify.com/track/6WZ7g8fpIXkf1ySWn3GA5O
74VR3AkGPhbYXnxcOYa16x,Strangers In The Night,Frank Sinatra,kaseysmom,skip_for_now,1,2026-07-19T06:00:39.468Z,https://open.spotify.com/track/74VR3AkGPhbYXnxcOYa16x
7ACxUo21jtTHzy7ZEV56vU,Crazy Train,Ozzy Osbourne,kaseysmom,skip_for_now,1,2026-07-19T06:00:39.040Z,https://open.spotify.com/track/7ACxUo21jtTHzy7ZEV56vU
7K71priwuwcWwbgfHVQJdq,Lovesong,The Cure,kaseysmom,skip_for_now,1,2026-07-19T06:00:39.341Z,https://open.spotify.com/track/7K71priwuwcWwbgfHVQJdq
7wuJGgpTNzbUyn26IOY6rj,Total Eclipse of the Heart,Bonnie Tyler,kaseysmom,skip_for_now,1,2026-07-19T06:00:38.869Z,https://open.spotify.com/track/7wuJGgpTNzbUyn26IOY6rj
