rank,track_id,name,artists,album,tier,mood,energy,dance,valence,bpm,camelot,listen_count,days_since_latest_listen,tier_weight,recency_boost,listen_count_boost,jitter,sort_score,spotify_url
13,0NdTUS4UiNYCNn5FgVqKQY,Snap Out Of It,Arctic Monkeys,AM,yes,224.00,64.00,73.00,87.00,130.00,4A,1,3.18,1.500,0.9042,0.1386,0.9613,2.2937,https://open.spotify.com/track/0NdTUS4UiNYCNn5FgVqKQY
14,6FDtusHKRJdlHLApla3VSa,Capricorn,Elderbrook,Capricorn,yes,255.00,85.00,83.00,87.00,121.00,1B,0,14.01,1.500,0.6817,0.0000,1.0499,2.1117,https://open.spotify.com/track/6FDtusHKRJdlHLApla3VSa
15,5pf1ZzUE1v0de2oYegaQur,California Callin',Enrique Iglesias,7,yes,194.00,90.00,57.00,47.00,124.00,2A,0,17.00,1.500,0.6384,0.0000,1.0458,2.0694,https://open.spotify.com/track/5pf1ZzUE1v0de2oYegaQur
16,1GIyqBf1T1IjaNAOtK9cYe,Legacy,Peyton & His Peers,Legacy,yes,192.00,76.00,50.00,66.00,140.00,10B,0,13.99,1.500,0.6820,0.0000,1.0209,2.0535,https://open.spotify.com/track/1GIyqBf1T1IjaNAOtK9cYe
17,3lPr8ghNDBLc2uZovNyLs9,Supermassive Black Hole,Muse,Black Holes and Revelations,yes,237.00,92.00,67.00,78.00,120.00,9B,0,14.06,1.500,0.6809,0.0000,1.0168,2.0445,https://open.spotify.com/track/3lPr8ghNDBLc2uZovNyLs9
18,5aejtAMTPonqopEygQgOkq,Cardiac Arrest,Bad Suns,Language & Perspective,yes,227.00,87.00,62.00,78.00,94.00,3B,0,14.00,1.500,0.6818,0.0000,1.0098,2.0311,https://open.spotify.com/track/5aejtAMTPonqopEygQgOkq
19,4UVKy0DI1hOlL8xF99Ba5j,Any Way You Want It (2024 Remaster),Journey,Greatest Hits (2024 Remaster),yes,205.00,92.00,53.00,60.00,138.00,9B,0,14.00,1.500,0.6818,0.0000,0.9920,1.9952,https://open.spotify.com/track/4UVKy0DI1hOlL8xF99Ba5j
20,1AuokT6OG2XFyDp7kuRGJx,32 Days,Numblife,32 Days,yes,193.00,70.00,52.00,71.00,164.00,4B,0,14.01,1.500,0.6817,0.0000,0.9916,1.9943,https://open.spotify.com/track/1AuokT6OG2XFyDp7kuRGJx
21,0fYVliAYKHuPmECRs1pbRf,Renegades,X Ambassadors,VHS,yes,192.00,86.00,53.00,53.00,90.00,10B,0,14.03,1.500,0.6813,0.0000,0.9842,1.9791,https://open.spotify.com/track/0fYVliAYKHuPmECRs1pbRf
22,5qeLeyIWCPe1FpdJLQTUDW,The Wild Boys,Duran Duran,Decade,yes,217.00,84.00,74.00,59.00,116.00,10A,0,14.06,1.500,0.6809,0.0000,0.9824,1.9754,https://open.spotify.com/track/5qeLeyIWCPe1FpdJLQTUDW
