#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
51,"Hells Bells","AC/DC",107,9A,87,2025-12-08,05:12,81,"rock, hard rock, classic rock, rock and roll","Back In Black",1980-07-25,39,1,1,30,0,20,-5,E Minor,4,69QHm3pustz01CJRwdo20z,AUAP08000041,no
52,"It's a Long Way to the Top (If You Wanna Rock 'N' Roll)","AC/DC",136,5B,86,2025-12-08,05:02,77,"rock, hard rock, classic rock, rock and roll","High Voltage",1976-05-14,46,13,5,53,0,0,-4,D#/E♭ Major,4,7nemcVsXVFZF01iqpIIo2Y,USEW17500002,no
53,"Highway to Hell","AC/DC",116,11A,91,2025-12-08,03:28,89,"rock, hard rock, classic rock, rock and roll","Highway to Hell",1979-07-27,57,6,0,42,10,10,-5,F#/G♭ Minor,4,2zYzyRzz6pRmhPzyfMEC8s,AUAP07900028,no
54,"For Those About to Rock (We Salute You)","AC/DC",134,12B,92,2025-12-08,05:44,70,"rock, hard rock, classic rock, rock and roll","For Those About to Rock (We Salute You)",1981-11-23,37,0,42,47,10,40,-6,E Major,4,17lu4tymfnhmcIDlzBbtAb,AUAP08100026,no
55,"Girls Got Rhythm","AC/DC",138,9A,98,2025-12-08,03:23,69,"rock, hard rock, classic rock, rock and roll","Highway to Hell",1979-07-27,51,5,0,54,10,30,-4,E Minor,4,6Wn3pdFtAcnYJyJVITwt7N,AUAP07900038,no
56,"Time for Me to Fly","REO Speedwagon",82,10B,63,2025-12-08,03:41,65,"soft rock, aor, classic rock","You Can Tune a Piano, But You Can't Tuna Fish",1978-03-16,46,5,0,46,0,10,-7,D Major,4,0cO7JEo8deKuQMWpDyjenY,USSM10012771,no
57,"Tough Guys","REO Speedwagon",135,9B,86,2025-12-08,03:49,46,"soft rock, aor, classic rock","Hi Infidelity (30th Anniversary Edition)",1980-00-00,52,23,0,72,0,30,-5,G Major,4,2wN428oGfxZixOm6WaxD7F,USSM11102621,no
58,"Don't Let Him Go","REO Speedwagon",106,9B,96,2025-12-08,03:45,56,"soft rock, aor, classic rock","Hi Infidelity (30th Anniversary Edition)",1980-00-00,50,25,0,68,0,10,-6,G Major,4,6UxGF7LGJ5qE0LJViSTsA2,USSM11102616,no
59,"Peace of Mind","Boston",128,12B,68,2025-12-08,05:03,71,"classic rock, aor","Boston",1976-00-00,42,0,0,68,0,20,-6,E Major,4,1GqlvSEtMx5xbGptxOTTyk,USSM17600644,no
60,"Foreplay / Long Time","Boston",119,7B,66,2025-12-08,07:47,66,"classic rock, aor","Boston",1976-00-00,44,1,1,21,0,0,-9,F Major,4,39C5FuZ8C8M0QI8CrMsPkR,USSM17600873,no
61,"Come Sail Away","Styx",120,8B,34,2025-12-08,06:07,68,"classic rock, aor, progressive rock","The Grand Illusion",1977-01-01,32,10,0,14,0,10,-16,C Major,4,0PsbWiVtix5FoTZ1s00mEl,USUMG0000438,no
62,"Lady","Styx",137,9B,68,2025-12-08,02:57,59,"classic rock, aor, progressive rock","Styx II",1973-00-00,39,17,0,36,0,0,-7,G Major,4,1wpRglLhQ092N1rftlDMD3,USUG10500011,no
63,"The Best Of Times","Styx",79,8B,32,2025-12-08,04:17,59,"classic rock, aor, progressive rock","Paradise Theatre",1981-01-01,34,13,0,32,0,10,-12,C Major,4,7GRUpcvSQM9HrnC2CjYPG4,USAM18000366,no
64,"Blue Collar Man (Long Nights)","Styx",124,7A,60,2025-12-08,04:07,61,"classic rock, aor, progressive rock","Pieces Of Eight",1978-01-01,44,1,0,78,0,0,-11,D Minor,4,60F6ntlU0uSzgChmyQyVJP,USAM17800359,no
65,"Too Much Time On My Hands","Styx",131,10A,40,2025-12-08,04:31,63,"classic rock, aor, progressive rock","Paradise Theatre",1981-01-01,80,11,0,89,0,30,-14,B Minor,4,4hWUOIDHda9XOb1zDchftP,USAM18000370,no
66,"King Of Love","Styx",132,6A,82,2025-12-08,03:29,22,"classic rock, aor, progressive rock","Circling From Above",2025-07-18,62,2,0,57,0,60,-5,G Minor,4,5qBlmem6wERDlBt0fwLmx9,USUG12502076,no
67,"Take My Love and Run","Bad Suns",92,2B,87,2025-12-10,03:08,44,"","Language & Perspective",2014-07-01,66,0,1,80,0,70,-3,F#/G♭ Major,4,1iX1Ca1yTRAG50lQllPm1n,USVR91421205,no
68,"We Move Like the Ocean","Bad Suns",118,3B,83,2025-12-10,03:09,50,"","Language & Perspective",2014-07-01,57,0,51,54,0,0,-4,C♯/D♭ Major,4,219ekgc5N3hBkpZSr5fYnj,USVR91421202,no
69,"Salt","Bad Suns",120,4B,94,2025-12-10,03:46,53,"","Language & Perspective",2014-07-01,71,5,0,89,0,10,-4,G#/A♭ Major,4,4BZZF85cZXl7zl7ajFnQ0y,USVR91316303,no
70,"Feels Like Nothing","Foreign Air",128,6A,35,2025-12-10,02:41,7,"","Smile",2025-05-02,40,3,0,38,0,30,-9,G Minor,4,0fN8Symx2jOXpOAqrW6otf,CAN112500288,no
71,"What's Wrong?","Foreign Air",176,6B,72,2025-12-10,03:21,13,"","Such That I May Glow",2025-08-22,31,2,1,29,0,10,-8,A#/B♭ Major,4,1N7YE26nQWJ6oPaIuEV4TG,CAN112402441,no
72,"Free Animal","Foreign Air",80,4A,58,2025-12-10,03:00,61,"","For the Light",2016-09-23,58,9,0,41,0,0,-7,F Minor,4,6pnD89Q888HUHhcwQUTky8,TCACJ1573640,no
73,"Caffeine","Foreign Air",95,3B,62,2025-12-10,03:05,48,"","Caffeine",2016-12-16,63,5,0,42,0,10,-5,C♯/D♭ Major,4,5JbbvaybLOHy7xzRDfW5lC,TCACU1677482,no
74,"Sunoco","X Ambassadors",120,7B,49,2025-12-10,04:33,30,"","Townie",2024-04-05,49,77,0,11,0,10,-8,F Major,4,4y5lApjfksaQ35CdhVjvL5,USA2P2352162,no
