#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
11,"Friendly Fire","Rainbow Kitten Surprise",135,7B,70,2026-08-14,03:33,54,"","bones",2025-09-26,54,29,0,38,0,10,-5,F Major,4,7DTAZBykDP2m8LkYehrwhl,USAT22504348,no
12,"Hell Nah","Rainbow Kitten Surprise",170,3B,72,2026-08-14,03:26,64,"","bones",2025-09-26,48,11,0,40,10,0,-5,C♯/D♭ Major,4,50GOcJ4oPhKmUxcdiqWBqx,USAT22504349,no
13,"bones","Rainbow Kitten Surprise",208,1B,82,2026-08-14,03:24,56,"","bones",2025-09-26,47,35,0,56,0,10,-5,B Major,4,7p64m8lgMpuTl00Gd6T9gx,USAT22504350,yes
14,"100 Summers","Rainbow Kitten Surprise",167,2B,71,2026-08-14,03:58,62,"","bones",2025-09-26,51,41,0,42,0,10,-6,F#/G♭ Major,4,5jpT2b5gkbfaGIfMsXoKK6,USAT22504347,yes
15,"Dang","Rainbow Kitten Surprise",148,12B,94,2026-08-14,03:22,59,"","bones",2025-09-26,55,11,0,32,0,10,-3,E Major,4,5l8ylBEHHYL62w5HfjB3JF,USAT22504015,yes
16,"Stars","Rainbow Kitten Surprise",156,6B,70,2026-08-14,03:07,47,"","bones",2025-09-26,66,58,0,30,0,10,-4,A#/B♭ Major,4,3CpTESaweBfLB3VM2gwyOM,USAT22504353,yes
17,"Texas Hold‘em","Rainbow Kitten Surprise",184,2B,64,2026-08-14,04:05,47,"","bones",2025-09-26,55,53,0,44,0,10,-6,F#/G♭ Major,4,5UEmz6KnGST4pSznrAPuJx,USAT22504354,no
18,"Tropics","Rainbow Kitten Surprise",169,4B,73,2026-08-14,04:53,59,"","bones",2025-09-26,51,33,0,46,0,10,-4,G#/A♭ Major,4,50kY9njISacBSyPLyR8cwk,USAT22504355,yes
19,"Never Have I Ever","Rainbow Kitten Surprise",130,12A,71,2026-08-14,02:54,69,"","Never Have I Ever",2026-05-22,68,44,0,56,0,10,-6,C♯/D♭ Minor,4,2Ojr742JINM4QEOk7vQGEh,USAT22601140,no
20,"Sixteen","Rainbow Kitten Surprise",143,3B,85,2026-08-14,03:26,43,"","Never Have I Ever",2026-05-22,52,1,0,62,0,0,-4,C♯/D♭ Major,4,3mJWhKMqpaRZulF8C1ymhV,USAT22601139,no
21,"Blood Runs Red","Matt Maeson",177,4B,82,2026-08-14,03:39,47,"","Never Had to Leave",2022-08-26,40,4,0,34,0,0,-5,G#/A♭ Major,4,2GvMT691dfhy4tU66YH5aB,USAT22201829,no
22,"Cut Deep","Matt Maeson",160,9A,83,2026-08-14,02:56,53,"","Never Had to Leave",2022-08-26,58,57,0,60,10,0,-4,E Minor,4,2Y2nvGDYoKXihBx5KBIugX,USAT22207424,no
23,"Lonely As You","Matt Maeson",172,7B,69,2026-08-14,03:25,39,"","Never Had to Leave",2022-08-26,55,1,0,76,0,10,-5,F Major,4,2IGEPotTBIcmxM5SOFot6V,USAT22207425,yes
24,"Cry Baby","Matt Maeson",100,9B,46,2026-08-14,03:41,42,"","Never Had to Leave",2022-08-26,52,5,0,20,0,10,-6,G Major,4,3epaLFj2ClmXnvcuxHsih5,USAT22207423,no
